Test_Eligibility,Users_Visit_Site,Users_Visit_Homepage,Delivery_Eligible,Users_View_Banner,Users_Click_Banner,Users_redeemed,account_tenure,platform,age,income,Converted,Orders,Delivery_Orders,Non_Click_View
Test,0,0,0,0,0,0,153,App,67,25000,0,3,0,0
Control,1,1,1,0,0,0,84,App,66,25000,0,0,0,0
Control,1,1,0,0,0,0,73,Web,61,50000,0,0,0,0
Control,1,1,0,0,0,0,68,App,29,75000,0,6,3,0
Test,1,1,0,0,0,0,65,Web,31,125000,0,0,0,0
Test,1,1,0,0,0,0,162,App,66,100000,0,0,0,0
Test,1,1,0,0,0,0,35,App,35,100000,0,0,0,0
Control,1,1,1,0,0,0,148,App,32,100000,0,0,0,0
Control,1,1,1,0,0,0,75,Web,37,50000,0,0,0,0
Control,1,1,1,0,0,0,8,Web,61,50000,0,0,0,0
Test,0,0,0,0,0,0,106,App,42,75000,0,0,0,0
Control,1,1,1,0,0,0,143,App,47,100000,0,0,0,0
Control,1,1,0,0,0,0,4,Web,21,50000,0,0,0,0
Test,1,1,1,1,0,1,84,App,70,25000,0,0,0,1
Test,1,1,0,0,0,0,106,Web,58,100000,0,0,0,0
Test,1,1,1,1,0,0,45,App,55,50000,1,3,3,1
Test,1,1,0,0,0,0,106,App,69,100000,0,0,0,0
Control,1,1,1,0,0,0,169,App,54,50000,0,0,0,0
Test,1,1,1,1,1,0,81,App,61,50000,0,0,0,0
Test,1,1,1,1,0,0,35,Web,46,50000,0,0,0,1
Control,1,1,1,0,0,0,48,Web,24,100000,0,0,0,0
Test,1,1,0,0,1,0,34,Web,24,75000,0,0,0,0
Test,1,1,1,0,0,0,172,Web,30,100000,0,0,0,0
Test,1,1,1,1,0,0,65,Web,38,50000,0,0,0,1
Test,1,1,1,1,0,0,161,Web,57,75000,0,0,0,1
Control,1,1,1,0,0,0,36,App,62,100000,0,0,0,0
Test,1,1,1,0,0,0,180,App,36,75000,0,0,0,0
Control,1,0,0,0,0,0,173,Web,36,75000,1,0,0,0
Control,1,1,0,0,0,0,67,App,43,100000,0,0,0,0
Test,1,1,0,0,1,0,5,Web,69,50000,0,0,0,0
Control,1,1,0,0,0,0,145,App,33,75000,0,0,0,0
Test,1,1,0,0,1,0,48,Web,18,50000,0,0,0,0
Test,0,0,0,0,0,0,30,App,62,100000,0,0,0,0
Control,1,1,1,0,0,0,95,App,32,100000,1,0,0,0
Control,0,0,0,0,0,0,34,Web,28,50000,0,0,0,0
Control,1,1,1,0,0,0,152,App,32,75000,0,0,0,0
Test,1,1,1,1,1,1,178,Web,50,25000,0,0,0,0
Test,1,0,0,0,0,0,91,App,21,50000,0,0,0,0
Control,1,0,0,0,0,0,28,App,51,50000,0,0,0,0
Test,1,1,1,1,1,0,10,App,51,50000,0,0,0,0
Test,1,1,1,1,0,0,122,App,42,100000,1,0,0,1
Test,1,1,1,1,0,0,122,Web,45,25000,0,0,0,1
Test,1,1,0,0,0,0,103,Web,66,75000,0,0,0,0
Control,1,1,1,0,0,0,95,Web,56,125000,0,7,5,0
Test,1,1,0,0,1,0,3,App,18,25000,0,0,0,0
Control,1,1,1,0,0,0,103,App,61,50000,0,0,0,0
Test,1,1,1,0,0,0,122,App,58,100000,0,0,0,0
Control,1,1,1,0,0,0,146,App,66,25000,0,0,0,0
Control,1,1,1,0,0,0,36,Web,23,75000,0,0,0,0
Test,1,1,1,1,1,1,163,Web,64,100000,0,0,0,0
Control,1,1,1,0,0,0,13,App,41,25000,0,0,0,0
Control,1,1,1,0,0,0,67,Web,33,50000,0,0,0,0
Control,1,1,1,0,0,0,1,App,43,50000,0,0,0,0
